GraveID	GraveName	PhaseID	GraveDepth	HumanMNI	CitationID	ItemID	notes	time_added	user_added	time_last_update	user_last_update
G12906	890/1261	PFHUN1	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12908	90/1311	PFHUN1	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12830	HUNG471, grave 821	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12831	HUNG469, Grave 890	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12832	HUNG450, grave 342	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12833	HUNG457, Grave 134	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12834	HUNG448, grave 126	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12835	HUNG451, grave 4	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12836	HUNG520, grave 341; 341/520	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12837	HUNG1109, grave 786; 786/1109	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12838	HUNG1026, grave 719; 719/1026	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12839	HUNG623, grave 691	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12840	HUNG622, Grave 353	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12841	3688, Grave 352	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12842	HUNG624, Grave 768	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12843	HUNG631, Grave 773	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12844	517, grave 338; 338/517	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12845	1028, grave 721; 721/1028	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12846	HUNG633, grave 718	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12847	HUNG642, grave 904	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12848	PF644, grave 644	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12849	PF448, grave 448	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12850	PF94, grave 34	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12851	83, grave 34	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12852	252, grave 144	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12853	PF283, grave 283	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12854	PF283, grave 288	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12855	PF348, grave 348	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12856	PF78, grave 783	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12857	PF822, grave 822	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12858	PF900, grave 900	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12859	PF31, grave 31	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12860	468, grave 296; 296/468	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12861	91, grave 34; 34/91	PFHUN2	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12862	1105, grave 782	PFHUN2	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
